"통계분류(1)",통계분류(2),1997,1997,1997,1997,1997,1997,1997,1997,1997,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2008,2008,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2012,2012
"통계분류(1)",통계분류(2),사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,볼거리가 다양해야 한다,지나친 상업성 벗어나야 한다,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타
"월평균가구소득",100만원 미만,114,100,21.1,14.9,12.3,3.5,17.5,28.9,1.8,74,100,24.3,12.2,17.6,8.1,9.5,27,0,1.4,34,100,26.5,8.8,11.8,17.6,0,35.3,0,87,100,26.4,13.8,5.7,8,8,37.9,0,0,117,100,17.9,13.7,12.8,12,8.5,0,35,148,100,28.2,13.1,6.3,20.4,8.4,21.8,0,1.8,126,23,15.9,12.4,10.3,8.4,29.9,0
"월평균가구소득",101~150만원,157,100,19.7,10.2,9.6,7,18.5,34.4,0.6,144,100,25,9.7,13.2,6.3,6.9,38.2,0.7,0,81,100,21,14.8,11.1,11.1,3.7,35.8,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",151-200만원,162,100,19.8,10.5,8.6,8.6,9.3,41.4,1.2,162,100,19.8,10.5,8.6,8.6,9.3,41.4,1.2,0.6,167,100,28.1,13.8,13.2,10.8,5.4,28.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",100~199만원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,282,100,17.7,19.1,10.3,6.7,6.7,38.7,0.4,0.4,373,100,19,13.7,10.7,8,4.6,0.3,43.7,444,100,21.3,14.8,11.7,10.2,7,34.3,0.2,0.4,226,24.1,17.7,12.3,10.4,7.8,26.6,1.3
"월평균가구소득",200~299만원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,508,100,18.3,21.7,13.6,8.3,4.5,32.9,0.2,0.6,622,100,17.8,16.9,11.3,6.9,3.9,0,43.2,587,100,25,14.4,10.7,10.1,4.7,33.7,0.4,1.1,573,27.8,16.9,11.7,6.6,4.7,32,0.2
"월평균가구소득",201-300만원,154,100,19.5,9.7,9.7,5.8,21.4,33.8,0,165,100,20.6,8.5,11.5,7.3,7.9,42.4,1.2,0.6,273,100,24.9,14.3,10.3,8.8,8.8,33,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",300 만원 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,413,100,21.3,16.2,10.2,6.8,4.1,40.9,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",301만원 이상,93,100,21.5,12.9,9.7,6.5,16.1,33.3,0,94,100,20.2,12.8,14.9,3.2,6.4,39.4,3.2,0,252,100,27.8,9.5,12.3,6,8.3,36.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",300-399만원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,529,100,20.4,10.8,12.9,7.4,2.8,0.2,45.6,788,100,20.7,15.2,11.4,8.8,5.2,37.8,0.4,0.6,844,28,17.9,9.2,9.2,3.1,32,0.6
"월평균가구소득",400만원 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306,100,24.5,14.1,12.4,7.8,2.9,0,38.2,571,100,20.9,12,11.8,6.8,6.7,40.8,0.3,0.6,-,-,-,-,-,-,-,-
