"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균
"17개 시도별",인천,297,0.3,0.3,1.9,16.3,39.4,36.3,5.4,5.25,401,0.2,0.1,2.1,16.4,60,21.2,-,4.99,461,0.2,-,0.6,9,48.8,35,6.4,5.37,324,0.2,1.8,0.7,8.2,49.5,34.2,5.3,5.29,128,-,2.3,6.4,59.1,29.3,2.9,5.24,12,5.1,-,-,4.9,30.3,59.7,-,5.34
"17개 시도별",광주,254,0,0,2.1,37.8,34.2,19.1,6.8,4.91,284,0,0.3,1.2,19.2,30.3,44,4.9,5.31,325,-,1.2,-,6.5,35.2,39.8,17.3,5.65,318,0.3,0,0,6.8,36.5,44.7,11.7,5.6,134,-,0.9,6.6,32.6,41.9,17.9,5.69,60,-,-,2.6,9.5,10.2,39.3,38.4,6.01
"17개 시도별",대전,298,0.7,0.7,2.5,19.8,39.3,33.6,3.4,5.11,349,0,0.4,2.4,14.6,43,33.8,5.8,5.25,367,-,-,1,12,42.2,43,1.9,5.33,311,0,0.3,0.3,16.5,44.3,34.5,4.1,5.25,108,-,2.6,14.5,43.9,37,2.1,5.22,28,-,-,-,22.5,14.7,29,33.8,5.74
"17개 시도별",울산,237,-,0.4,1.1,19.4,27.6,49.5,2,5.31,298,-,0.1,2.3,14.3,28.9,50.1,4.4,5.4,241,-,-,0.9,10.5,25.8,51.1,11.7,5.62,251,0,0.5,2.2,22.8,27.1,33.9,13.5,5.32,50,-,-,19,34.6,31.4,14.9,5.42,7,-,-,-,51.1,16.9,31.9,-,4.81
"17개 시도별",세종,93,-,-,0.8,13.2,44.3,39.7,2,5.29,112,-,3.4,12.4,13,40.2,24.9,6.1,4.89,128,-,-,-,7.1,46.1,37.3,9.6,5.49,152,0,2.7,1.8,17.3,16.9,53.5,7.9,5.4,29,-,8.4,20.9,20.7,49.9,-,5.12,14,-,-,4.3,6.9,43.3,39,6.5,5.36
"17개 시도별",경기,656,0.4,1,4.2,24.2,35.1,33.9,1.2,4.99,825,-,0.4,1.6,12.7,41.2,37.3,6.8,5.34,719,-,0.1,5.1,23.5,36.8,25.9,8.7,5.09,669,0,0.1,1.9,13.4,33.4,44.2,7,5.41,721,0.5,2.1,15,48,31.6,2.9,5.17,79,-,-,1.6,27.6,24.2,19.3,27.4,5.43
"17개 시도별",강원,297,1.2,3.8,5.9,43.8,26.3,13,6,4.53,314,0.5,2.3,4,35.5,37.7,13.2,6.9,4.75,322,0.2,0.4,2.2,34.1,30.9,29.2,3.1,4.95,276,0.2,0.5,2.2,31.1,33.9,29.8,2.4,4.97,88,-,-,22.7,47.2,26.1,4,5.11,65,4.3,1.4,-,28.9,35.7,26.2,3.5,4.83
"17개 시도별",충북,310,0.9,0.7,1.1,14,44.3,37.3,1.8,5.19,381,-,0.3,4.2,18.9,41.7,30.7,4.2,5.11,373,0.1,0.7,1.4,14.5,42.4,34.1,6.9,5.28,260,0.3,1.9,1.8,20.8,26.3,29.2,19.6,5.37,88,1,1.8,19.6,19.2,44.8,13.6,5.46,21,-,-,-,22.3,10.5,38.7,28.6,5.74
"17개 시도별",충남,375,-,0.4,1.4,12.4,38,45.6,2.1,5.33,473,-,0.3,3.2,11.6,35.8,40.1,9,5.39,502,-,-,0.8,19.1,49.7,28.5,1.9,5.11,359,0,0.6,2.3,20.5,42.9,30.1,3.5,5.1,202,-,4.7,25.4,47.8,20.4,1.6,4.89,40,-,-,3.8,17.4,20.7,51.4,6.6,5.4
"17개 시도별",전북,226,-,0.5,1.7,22.2,42,27.7,5.8,5.12,335,0.5,0.2,1,12.6,36,46,3.7,5.36,349,0.1,0.4,2.5,25.8,32.5,30.7,8,5.14,343,0,0,0.6,19.7,36.2,40,3.6,5.26,180,-,1.1,11.8,41.9,40,5.2,5.36,24,-,-,-,16.1,16.5,56.3,11.2,5.63
